"Scenario","n","Test","Power","Reps"
"Uniform_-3_3",200,"EF",0.05,2000
"Uniform_-3_3",200,"EDGE_poly2",0.06,2000
"Uniform_-3_3",200,"EDGE_poly3",0.048,2000
"Uniform_-3_3",200,"EDGE_stukel",0.0415,2000
"Uniform_-3_3",200,"HL",0.0515,2000
"Uniform_-3_3",500,"EF",0.0465,2000
"Uniform_-3_3",500,"EDGE_poly2",0.051,2000
"Uniform_-3_3",500,"EDGE_poly3",0.0505,2000
"Uniform_-3_3",500,"EDGE_stukel",0.0455,2000
"Uniform_-3_3",500,"HL",0.047,2000
"Uniform_-3_3",1000,"EF",0.05,2000
"Uniform_-3_3",1000,"EDGE_poly2",0.052,2000
"Uniform_-3_3",1000,"EDGE_poly3",0.0515,2000
"Uniform_-3_3",1000,"EDGE_stukel",0.0525,2000
"Uniform_-3_3",1000,"HL",0.0495,2000
"Uniform_-3_3",2000,"EF",0.0535,2000
"Uniform_-3_3",2000,"EDGE_poly2",0.0565,2000
"Uniform_-3_3",2000,"EDGE_poly3",0.053,2000
"Uniform_-3_3",2000,"EDGE_stukel",0.0465,2000
"Uniform_-3_3",2000,"HL",0.055,2000
"Uniform_-3_3",5000,"EF",0.048,2000
"Uniform_-3_3",5000,"EDGE_poly2",0.0455,2000
"Uniform_-3_3",5000,"EDGE_poly3",0.043,2000
"Uniform_-3_3",5000,"EDGE_stukel",0.044,2000
"Uniform_-3_3",5000,"HL",0.0485,2000
"Uniform_-6_6",200,"EF",0.0425,2000
"Uniform_-6_6",200,"EDGE_poly2",0.0565,2000
"Uniform_-6_6",200,"EDGE_poly3",0.047,2000
"Uniform_-6_6",200,"EDGE_stukel",0.0595,2000
"Uniform_-6_6",200,"HL",0.0575,2000
"Uniform_-6_6",500,"EF",0.0395,2000
"Uniform_-6_6",500,"EDGE_poly2",0.0465,2000
"Uniform_-6_6",500,"EDGE_poly3",0.049,2000
"Uniform_-6_6",500,"EDGE_stukel",0.052,2000
"Uniform_-6_6",500,"HL",0.046,2000
"Uniform_-6_6",1000,"EF",0.0475,2000
"Uniform_-6_6",1000,"EDGE_poly2",0.0535,2000
"Uniform_-6_6",1000,"EDGE_poly3",0.05,2000
"Uniform_-6_6",1000,"EDGE_stukel",0.0465,2000
"Uniform_-6_6",1000,"HL",0.046,2000
"Uniform_-6_6",2000,"EF",0.0535,2000
"Uniform_-6_6",2000,"EDGE_poly2",0.0485,2000
"Uniform_-6_6",2000,"EDGE_poly3",0.0535,2000
"Uniform_-6_6",2000,"EDGE_stukel",0.0445,2000
"Uniform_-6_6",2000,"HL",0.0535,2000
"Uniform_-6_6",5000,"EF",0.0535,2000
"Uniform_-6_6",5000,"EDGE_poly2",0.0525,2000
"Uniform_-6_6",5000,"EDGE_poly3",0.055,2000
"Uniform_-6_6",5000,"EDGE_stukel",0.0585,2000
"Uniform_-6_6",5000,"HL",0.053,2000
"Normal_0_1.5",200,"EF",0.046,2000
"Normal_0_1.5",200,"EDGE_poly2",0.0535,2000
"Normal_0_1.5",200,"EDGE_poly3",0.055,2000
"Normal_0_1.5",200,"EDGE_stukel",0.05,2000
"Normal_0_1.5",200,"HL",0.046,2000
"Normal_0_1.5",500,"EF",0.0555,2000
"Normal_0_1.5",500,"EDGE_poly2",0.057,2000
"Normal_0_1.5",500,"EDGE_poly3",0.0585,2000
"Normal_0_1.5",500,"EDGE_stukel",0.0495,2000
"Normal_0_1.5",500,"HL",0.055,2000
"Normal_0_1.5",1000,"EF",0.045,2000
"Normal_0_1.5",1000,"EDGE_poly2",0.047,2000
"Normal_0_1.5",1000,"EDGE_poly3",0.0545,2000
"Normal_0_1.5",1000,"EDGE_stukel",0.0495,2000
"Normal_0_1.5",1000,"HL",0.044,2000
"Normal_0_1.5",2000,"EF",0.0465,2000
"Normal_0_1.5",2000,"EDGE_poly2",0.058,2000
"Normal_0_1.5",2000,"EDGE_poly3",0.0465,2000
"Normal_0_1.5",2000,"EDGE_stukel",0.0485,2000
"Normal_0_1.5",2000,"HL",0.045,2000
"Normal_0_1.5",5000,"EF",0.04,2000
"Normal_0_1.5",5000,"EDGE_poly2",0.047,2000
"Normal_0_1.5",5000,"EDGE_poly3",0.0525,2000
"Normal_0_1.5",5000,"EDGE_stukel",0.0515,2000
"Normal_0_1.5",5000,"HL",0.042,2000
"Chi2_4",200,"EF",0.0365,2000
"Chi2_4",200,"EDGE_poly2",0.048,2000
"Chi2_4",200,"EDGE_poly3",0.047,2000
"Chi2_4",200,"EDGE_stukel",0.04,2000
"Chi2_4",200,"HL",0.0555,2000
"Chi2_4",500,"EF",0.042,2000
"Chi2_4",500,"EDGE_poly2",0.047,2000
"Chi2_4",500,"EDGE_poly3",0.0465,2000
"Chi2_4",500,"EDGE_stukel",0.0415,2000
"Chi2_4",500,"HL",0.043,2000
"Chi2_4",1000,"EF",0.058,2000
"Chi2_4",1000,"EDGE_poly2",0.042,2000
"Chi2_4",1000,"EDGE_poly3",0.057,2000
"Chi2_4",1000,"EDGE_stukel",0.05,2000
"Chi2_4",1000,"HL",0.059,2000
"Chi2_4",2000,"EF",0.052,2000
"Chi2_4",2000,"EDGE_poly2",0.057,2000
"Chi2_4",2000,"EDGE_poly3",0.064,2000
"Chi2_4",2000,"EDGE_stukel",0.0525,2000
"Chi2_4",2000,"HL",0.052,2000
"Chi2_4",5000,"EF",0.0505,2000
"Chi2_4",5000,"EDGE_poly2",0.047,2000
"Chi2_4",5000,"EDGE_poly3",0.046,2000
"Chi2_4",5000,"EDGE_stukel",0.041,2000
"Chi2_4",5000,"HL",0.049,2000
"Multi_Indep",200,"EF",0.042,2000
"Multi_Indep",200,"EDGE_poly2",0.0555,2000
"Multi_Indep",200,"EDGE_poly3",0.0545,2000
"Multi_Indep",200,"EDGE_stukel",0.0495,2000
"Multi_Indep",200,"HL",0.045,2000
"Multi_Indep",500,"EF",0.048,2000
