"Scenario","Test","n","Replications","Power"
"Interact_Slight","giviti_calib",1000,10000,0.0023
"Interact_Slight","giviti_calib_internal",1000,10000,0.0996
"Interact_Slight","traditional_HL",1000,10000,0.0638
"Interact_Slight","pearson",1000,10000,0
"Interact_Slight","deviance",1000,10000,0
"Interact_Slight","hl_ftest",1000,10000,0.0507
"Interact_Slight","s_st_pl0_5",1000,10000,0.1072
"Interact_Slight","large_s_hl",1000,10000,0.0637
"Interact_Slight","spiegelhalter",1000,10000,0
"Interact_Slight","Copas_unweighted_S",1000,10000,0.1073
"Interact_Slight","pigeonheyse",1000,10000,0.0404
"Interact_Slight","xie",1000,10000,0.0265
"Interact_Slight","eHL",1000,10000,0.0014
"Interact_Slight","U_p",1000,10000,0
"Interact_Slight","HL_GAM",1000,10000,0.0627
"Interact_Slight","PR_GAM",1000,10000,0.1678
"Interact_Slight","XIE_GAM",1000,10000,0.0837
"Interact_Slight","Farrington_standalone",1000,10000,0
"Interact_Slight","IM_efficient",1000,9999,0.1015
"Interact_Slight","McCullagh_Test",1000,10000,0.1544
"Interact_Slight","leCessie_Test",1000,10000,0.121
"Interact_Slight","hosmer_equal_width",1000,8012,0.0867
"Interact_Slight","bagoft_parallel",1000,1000,0.054
"Interact_Slight","bagoft_test_NO_SIM_Split_1",1000,10000,0.0646
"Interact_Slight","PR_test",1000,10000,0.1349
"Interact_Slight","bagoft_test_Split_20",1000,10000,0
"Interact_Slight","stute_zhu_test",1000,10000,0.0878
"Interact_Slight","Tsiatis_clustering",1000,10000,0.0818
"Interact_Slight","hosmer_bootstrap",1000,10000,0.1016
"Interact_Slight","eHL_10",1000,10000,0.004
"Interact_Slight","osius_rojek",1000,10000,0.3342
"Interact_Slight","s_st_pgeq0_5",1000,0,NA
"Interact_Slight","sst_both",1000,0,NA
"Interact_Slight","Final_Farrington_G10",1000,10000,0.0773
"Interact_Slight","giviti_calib",200,10000,8e-04
"Interact_Slight","giviti_calib_internal",200,10000,0.0596
"Interact_Slight","traditional_HL",200,10200,0.0431
"Interact_Slight","pearson",200,10000,0.0011
"Interact_Slight","deviance",200,10000,1e-04
"Interact_Slight","hl_ftest",200,10000,0.0298
"Interact_Slight","s_st_pl0_5",200,10000,0.0608
"Interact_Slight","large_s_hl",200,10000,0.0428
"Interact_Slight","spiegelhalter",200,10000,0
"Interact_Slight","Copas_unweighted_S",200,10000,0.0615
"Interact_Slight","pigeonheyse",200,10200,0.0279
"Interact_Slight","xie",200,10200,0.0136
"Interact_Slight","eHL",200,10000,4e-04
"Interact_Slight","U_p",200,10000,0
"Interact_Slight","HL_GAM",200,10000,0.0705
