"Scenario","Test","n","Replications","Power"
"Quad_Slight","giviti_calib",1000,10000,9e-04
"Quad_Slight","giviti_calib_internal",1000,10000,0.1047
"Quad_Slight","traditional_HL",1000,10000,0.0859
"Quad_Slight","pearson",1000,10000,0.3406
"Quad_Slight","deviance",1000,10000,0
"Quad_Slight","osius_rojek",1000,10000,0.1064
"Quad_Slight","s_st_pgeq0_5",1000,10000,0.0871
"Quad_Slight","s_st_pl0_5",1000,10000,0.115
"Quad_Slight","sst_both",1000,10000,0.1375
"Quad_Slight","large_s_hl",1000,10000,0.0857
"Quad_Slight","spiegelhalter",1000,10000,0
"Quad_Slight","Copas_unweighted_S",1000,10000,0.0855
"Quad_Slight","pigeonheyse",1000,10000,0.0586
"Quad_Slight","xie",1000,10000,0.0475
"Quad_Slight","eHL",1000,10000,0.0031
"Quad_Slight","U_p",1000,10000,0
"Quad_Slight","HL_GAM",1000,10000,0.0769
"Quad_Slight","PR_GAM",1000,0,NA
"Quad_Slight","XIE_GAM",1000,10000,0.0842
"Quad_Slight","Farrington_standalone",1000,10000,0
"Quad_Slight","IM_efficient",1000,10000,0.0921
"Quad_Slight","McCullagh_Test",1000,10000,0.1531
"Quad_Slight","leCessie_Test",1000,10000,0.1144
"Quad_Slight","hosmer_equal_width",1000,10000,0.057
"Quad_Slight","bagoft_test_NO_SIM_Split_1",1000,10000,0.0665
"Quad_Slight","PR_test",1000,0,NA
"Quad_Slight","bagoft_parallel",1000,1000,0.066
"Quad_Slight","bagoft_test_Split_20",1000,10000,0
"Quad_Slight","stute_zhu_test",1000,10000,0.0925
"Quad_Slight","Tsiatis_clustering",1000,10000,0.082
"Quad_Slight","hl_ftest",1000,10000,0.8498
"Quad_Slight","hosmer_bootstrap",1000,10000,0.1285
"Quad_Slight","eHL_10",1000,10000,0.0068
"Quad_Slight","Final_Farrington_G10",1000,10000,0.0854
"Quad_Slight","giviti_calib",200,10000,7e-04
"Quad_Slight","giviti_calib_internal",200,10000,0.0637
"Quad_Slight","traditional_HL",200,10200,0.0712
"Quad_Slight","pearson",200,10000,0.2115
"Quad_Slight","deviance",200,10000,0
"Quad_Slight","hl_ftest",200,10000,0.2265
"Quad_Slight","osius_rojek",200,10000,0.0799
"Quad_Slight","s_st_pgeq0_5",200,10000,0.051
"Quad_Slight","s_st_pl0_5",200,10000,0.0666
"Quad_Slight","sst_both",200,10000,0.0828
"Quad_Slight","large_s_hl",200,10000,0.0712
"Quad_Slight","spiegelhalter",200,10000,0
"Quad_Slight","Copas_unweighted_S",200,10000,0.0618
"Quad_Slight","pigeonheyse",200,10200,0.0514
"Quad_Slight","xie",200,10200,0.0422
"Quad_Slight","eHL",200,10000,9e-04
"Quad_Slight","U_p",200,10000,0
"Quad_Slight","HL_GAM",200,10000,0.0491
"Quad_Slight","PR_GAM",200,0,NA
"Quad_Slight","XIE_GAM",200,10000,0.0728
"Quad_Slight","Farrington_standalone",200,10000,0
"Quad_Slight","IM_efficient",200,10000,0.0593
"Quad_Slight","McCullagh_Test",200,10000,0.1099
"Quad_Slight","leCessie_Test",200,10000,0.077
"Quad_Slight","hosmer_equal_width",200,10200,0.0453
"Quad_Slight","bagoft_test_NO_SIM_Split_1",200,10000,0.1139
"Quad_Slight","PR_test",200,0,NA
"Quad_Slight","bagoft_parallel",200,1000,0.047
"Quad_Slight","bagoft_test_Split_20",200,10000,2e-04
"Quad_Slight","stute_zhu_test",200,10000,0.0524
"Quad_Slight","Tsiatis_clustering",200,10200,0.0663
"Quad_Slight","hosmer_bootstrap",200,10000,0.2116
"Quad_Slight","eHL_10",200,10000,0.0027
"Quad_Slight","Final_Farrington_G10",200,10200,0.0578
"Quad_Slight","giviti_calib",2000,10000,0.0052
"Quad_Slight","giviti_calib_internal",2000,10000,0.1632
"Quad_Slight","traditional_HL",2000,10000,0.1085
"Quad_Slight","pearson",2000,10000,0.4249
