"Scenario","Test","n","Replications","Power"
"Uniform_-6_6","giviti_calib",1000,10000,5e-04
"Uniform_-6_6","giviti_calib_internal",1000,10000,0.0453
"Uniform_-6_6","traditional_HL",1000,10000,0.0503
"Uniform_-6_6","pearson",1000,10000,0.1942
"Uniform_-6_6","deviance",1000,10000,0
"Uniform_-6_6","hl_ftest",1000,10000,0.9178
"Uniform_-6_6","osius_rojek",1000,10000,0.0449
"Uniform_-6_6","s_st_pgeq0_5",1000,10000,0.0465
"Uniform_-6_6","s_st_pl0_5",1000,10000,0.0449
"Uniform_-6_6","sst_both",1000,10000,0.0607
"Uniform_-6_6","large_s_hl",1000,10000,0.0503
"Uniform_-6_6","spiegelhalter",1000,10000,0
"Uniform_-6_6","Copas_unweighted_S",1000,10000,0.0494
"Uniform_-6_6","pigeonheyse",1000,10000,0.0343
"Uniform_-6_6","xie",1000,10000,0.025
"Uniform_-6_6","eHL",1000,10000,0.002
"Uniform_-6_6","U_p",1000,10000,0
"Uniform_-6_6","HL_GAM",1000,10000,0.0441
"Uniform_-6_6","PR_GAM",1000,0,NA
"Uniform_-6_6","XIE_GAM",1000,10000,0.0506
"Uniform_-6_6","Farrington_standalone",1000,10000,0
"Uniform_-6_6","IM_efficient",1000,10000,0.0502
"Uniform_-6_6","McCullagh_Test",1000,10000,0.0597
"Uniform_-6_6","leCessie_Test",1000,10000,0.0776
"Uniform_-6_6","bagoft_parallel",1000,1000,0.044
"Uniform_-6_6","hosmer_equal_width",1000,10000,0.0508
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",1000,10000,0.0697
"Uniform_-6_6","PR_test",1000,0,NA
"Uniform_-6_6","bagoft_test_Split_20",1000,10000,0
"Uniform_-6_6","stute_zhu_test",1000,10000,0.0524
"Uniform_-6_6","Tsiatis_clustering",1000,10000,0.0506
"Uniform_-6_6","hosmer_bootstrap",1000,10000,0.109
"Uniform_-6_6","eHL_10",1000,10000,0.0048
"Uniform_-6_6","Final_Farrington_G10",1000,10000,0.0612
"Uniform_-6_6","traditional_HL",100000,10000,0.0498
"Uniform_-6_6","pigeonheyse",100000,10000,0.032
"Uniform_-6_6","Final_Farrington_G10",100000,10000,0.0675
"Uniform_-6_6","traditional_HL",1000000,10000,0.0522
"Uniform_-6_6","pigeonheyse",1000000,10000,0.0317
"Uniform_-6_6","Final_Farrington_G10",1000000,10000,0.0693
"Uniform_-6_6","giviti_calib",200,10000,8e-04
"Uniform_-6_6","giviti_calib_internal",200,10000,0.0555
"Uniform_-6_6","traditional_HL",200,10000,0.0503
"Uniform_-6_6","pearson",200,10000,0.1713
"Uniform_-6_6","deviance",200,10000,0
"Uniform_-6_6","hl_ftest",200,10000,0.2482
"Uniform_-6_6","osius_rojek",200,10000,0.0474
"Uniform_-6_6","s_st_pgeq0_5",200,10000,0.0471
"Uniform_-6_6","s_st_pl0_5",200,10000,0.0433
"Uniform_-6_6","sst_both",200,10000,0.0682
"Uniform_-6_6","large_s_hl",200,10000,0.0501
"Uniform_-6_6","spiegelhalter",200,10000,0
"Uniform_-6_6","Copas_unweighted_S",200,10000,0.0505
"Uniform_-6_6","pigeonheyse",200,10000,0.0358
